epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,493.342,1.11745,9.10118,0.73374,1.03227,0.02048,14.6232,0.92827,0.92711,0.97052,0.75798,0.58676,0.38588,0.30395,0.09023,0.90068,5.61165,0.73347,0.41135,0.02152,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,971.678,0.96025,5.71824,0.64145,0.56961,0.01719,6.39946,0.91061,0.87626,0.93553,0.66217,0.2329,0.19396,0.05686,0.0128,1.18321,6.35434,0.37051,0.55793,0.03023,0,0.0199257,0.00664192,0.0199257,0.00664192,0.0199257,0.00664192,0.0199257,0.00664192
3,1498.5,1.07965,5.54813,0.53158,0.67317,0.01996,6.10494,0.86238,0.7724,0.85933,0.56666,0.61936,0.38445,0.30158,0.10762,1.3962,5.66257,0.28329,0.91535,0.03746,0,0.0298466,0.00994887,0.0298466,0.00994887,0.0298466,0.00994887,0.0298466,0.00994887
4,1980.65,1.14896,5.33726,0.45067,0.70973,0.0213,5.71601,0.93147,0.91551,0.96485,0.7131,0.77729,0.61629,0.60893,0.38694,1.01745,3.46451,0.20847,0.43626,0.02478,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2480.94,1.0932,4.75299,0.39882,0.6381,0.02007,4.89386,0.91592,0.8839,0.93733,0.67274,0.8139,0.61029,0.62941,0.3497,1.09681,3.58615,0.25319,0.53924,0.0285,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2966.89,1.056,4.37187,0.37374,0.5936,0.01916,4.32156,0.94716,0.91821,0.97276,0.73844,0.8298,0.68782,0.70451,0.4507,0.94742,2.97588,0.18172,0.39581,0.02354,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3439.54,1.01536,4.05914,0.35113,0.56071,0.01824,3.87611,0.95558,0.94575,0.98245,0.76774,0.79792,0.73187,0.72471,0.52146,0.88443,2.63979,0.16723,0.32732,0.02136,0,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3919.23,0.98265,3.84692,0.33606,0.53836,0.01751,3.55192,0.94072,0.91612,0.96222,0.71003,0.79577,0.67746,0.65938,0.44334,1.03121,3.07805,0.15195,0.41793,0.02597,0,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,4392.5,0.96004,3.6696,0.32423,0.51729,0.01704,3.30807,0.96014,0.9455,0.98335,0.75469,0.84032,0.74181,0.75407,0.56017,0.93131,2.45723,0.14485,0.35002,0.02368,0,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4901.74,0.93504,3.4719,0.31488,0.50451,0.01654,3.0402,0.94028,0.94686,0.9804,0.79542,0.83892,0.71645,0.71497,0.52888,0.78761,2.64539,0.13958,0.33458,0.01812,0,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,5375.85,0.92009,3.37119,0.3029,0.48838,0.01622,2.85763,0.95498,0.95964,0.98575,0.80144,0.83129,0.78348,0.77972,0.60221,0.77247,2.2346,0.14983,0.29914,0.01833,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,5826.65,0.8999,3.23313,0.29755,0.46334,0.01569,2.62077,0.95824,0.9563,0.98603,0.81697,0.78606,0.72372,0.65687,0.50199,0.73021,2.65084,0.13351,0.29687,0.01653,0,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
